ter;plot;label;ms;open
4;14;296;0;
4;14;297;1;
4;14;300;1;
4;14;301;0;
4;14;303;1;
4;14;304;0;
4;14;308;1;309
4;14;309;0;
4;14;310;0;
4;14;311;0;
4;14;312;0;
4;14;313;0;
4;14;314;1;312
4;14;315;1;313
4;14;316;1;317
4;14;317;0;
4;14;319;0;
4;14;320;0;
4;14;321;1;320
4;14;325;0;
4;14;326;1;325
4;14;327;1;328
4;14;328;0;
4;14;330;0;
4;14;331;1;330
4;14;332;0;
4;14;334;1;332
4;14;335;0;
4;14;336;1;335
4;14;337;0;
4;14;338;1;338
4;14;339;0;
4;14;340;1;339
4;14;341;0;
4;14;342;1;341
4;14;344;0;
4;14;345;1;344
4;14;346;0;
4;14;347;0;
4;14;348;1;346
4;14;349;1;347
4;14;350;1;351
4;14;351;0;
4;14;352;1;352
4;14;353;0;
4;14;354;1;355
4;14;356;0;
4;14;357;1;356
4;15;1452;0;
4;15;1453;1;1452
4;15;1455;0;
4;15;1457;0;
4;15;1458;1;1457
4;15;1459;0;
4;15;1460;0;
4;15;1462;1;1460
4;15;1463;1;1464
4;15;1464;0;
4;15;1465;1;1459
4;15;1466;0;
4;15;1467;1;1466
4;15;1468;0;
4;15;1469;0;
4;15;1470;1;1468
4;15;1471;0;
4;15;1472;1;1471
4;15;1473;1;1474
4;15;1474;0;
4;15;1475;1;1488
4;15;1476;1;1969
4;15;1477;1;1478
4;15;1478;0;
4;15;1481;1;1482
4;15;1482;0;
4;15;1483;0;
4;15;1484;1;1483
4;15;1485;0;
4;15;1486;1;1485
4;15;1488;0;
4;15;1490;0;
4;15;1454;0;
4;15;1495;1;1496
4;15;1496;0;
4;15;1497;1;1498
4;15;1498;0;
4;15;1500;1;1499
4;15;1501;0;
4;15;1503;1;1504
4;15;1504;0;
4;15;1505;1;1506
4;15;1506;0;
4;15;1507;0;
4;15;1508;1;1507
4;15;1509;0;
4;15;1510;1;1509
4;15;1512;1;1513
4;15;1513;0;
4;15;1515;0;
4;15;1523;1;1524
4;15;1524;0;
4;15;1526;1;1527
4;15;1527;0;
4;15;1528;0;
4;15;1529;1;1528
4;15;1530;1;1501
4;15;1531;1;1455
