ter;plot;label;ms;com;ind;sp;height;diameter;state;flower;;;;;
2;8;468;0;M;1;anthyllis;22,3;2,65;;1;;;;;
2;8;469;0;P;1;pistachia;16,5;1,9;2;;;;;;
2;8;470;0;A;1;anthyllis;33,7;2,99;;1;;;;;
2;8;471;1;A;1;anthyllis;25,2;2,09;;1;;;;;
2;8;472;1;P;1;pistachia;23,5;3,24;;;;;;;
2;8;473;0;D;1;dorycnium;28,3;3,23;;;;;;;
2;8;474;1;D;1;dorycnium;27,2;2,72;;;;;;;
2;8;477;1;M;1;dorycnium;28,5;2,22;;;;;;;
2;8;478;0;M;1;dorycnium;24,2;2,08;;;;;;;
2;8;479;0;A;1;anthyllis;19,7;3,21;;;;;;;
2;8;480;1;A;1;anthyllis;30,5;2,07;;;;;;;
3;9;881;0;A;1;anthyllis;21,4;3,08;;;;;;;
3;9;882;1;A;1;anthyllis;21,5;2,57;;;;;;;
3;9;885;0;A;1;anthyllis;;;3;;;;;;
3;9;886;1;A;1;anthyllis;;;3;;;;;;
3;9;887;0;M;1;pistachia;26,2;3,65;1;;;;;;
3;9;888;1;M;1;dorycnium;30;2,89;;;;;;;
3;9;889;1;P;1;pistachia;21;2,41;;;;;;;
3;9;890;0;P;1;pistachia;25,8;2,52;1;;;;;;
3;9;891;0;M;1;dorycnium;27,6;2,06;;;;;;;
3;9;892;1;M;1;dorycnium;31,2;3,41;;;;;;;
3;9;897;1;P;1;pistachia;15,5;2,77;;;;;;;
3;9;898;0;P;1;pistachia;19,5;3,71;;;;;;;
3;9;899;0;P;1;pistachia;20,3;3,08;;;;;;;
3;9;900;1;P;1;pistachia;14;2,31;;;;;;;
3;9;1329;1;M;1;anthyllis;35;1,58;;1;;;;;
3;9;901;0;M;1;dorycnium;22,5;2,06;;;;;;;
3;9;905;0;D;1;dorycnium;36,4;3,02;;;;;;;
3;9;906;1;D;1;dorycnium;36;2,25;;;;;;;
3;9;907;0;A;1;anthyllis;36,6;2,35;;;;;;;
3;9;908;1;A;1;anthyllis;28;2,75;;1;;;;;
3;9;912;1;M;1;dorycnium;23;2,1;;;;;;;
3;9;911;0;M;1;dorycnium;17,6;2,26;;;;;;;
3;9;914;1;D;1;dorycnium;32,5;2,16;;;;;;;
3;9;915;0;D;1;dorycnium;27,2;2,27;;;;;;;
3;9;916;1;D;1;dorycnium;25;2,48;;;;;;;
3;9;917;0;D;1;dorycnium;33,7;2,22;;;;;;;
3;9;918;0;A;1;anthyllis;16,5;2,22;1;;;;;;
3;9;919;1;A;1;anthyllis;17,2;2,1;;;;;;;
3;9;920;0;D;1;dorycnium;32,2;2,95;;;;;;;
3;9;921;1;D;1;dorycnium;36,5;1,49;;;;;;;
3;9;922;1;A;1;anthyllis;18,6;2,27;;;;;;;
3;9;923;0;A;1;anthyllis;27;2,86;;1;;;;;
3;9;924;0;P;1;pistachia;22,5;3,97;2;;;;;;
3;9;925;1;P;1;pistachia;9,5;2,35;;;;;;;
3;9;926;0;D;1;dorycnium;31;2,72;;;;;;;
3;9;927;1;D;1;dorycnium;31,4;2,16;;;;;;;
3;9;928;0;P;1;pistachia;22,2;3,17;;;;;;;
3;9;929;1;P;1;pistachia;21,5;2,9;;;;;;;
3;9;930;1;P;1;pistachia;25,1;3,5;;;;;;;
3;9;931;0;P;1;pistachia;14,5;2,64;1;;;;;;
3;9;932;1;D;1;dorycnium;35;2,28;;;;;;;
3;9;933;0;D;1;dorycnium;34,5;3,64;;;;;;;
3;9;934;0;D;1;dorycnium;32,7;4,78;;;;;;;
3;9;935;1;D;1;dorycnium;26,5;2,32;;;;;;;
3;9;936;0;P;1;pistachia;21,7;3,62;2;;;;;;
3;9;937;1;P;1;pistachia;27,5;4,92;2;;;;;;
3;9;938;0;M;1;;31,5;3,49;;;;;;;
3;9;939;1;M;1;;19,6;3,04;;;;;;;
3;9;941;0;A;1;anthyllis;24,5;2,18;;;;;;;
3;9;942;1;A;1;anthyllis;11;1,56;;;;;;;
3;9;943;0;P;1;pistachia;30,2;5,05;2;;;;;;
3;9;944;1;P;1;pistachia;10,1;3,3;;;;;;;
3;9;947;1;D;1;dorycnium;32;2,47;;;;;;;
3;9;948;0;D;1;dorycnium;35,7;2,5;;1;;;;;
3;9;952;0;A;1;anthyllis;10,5;2,53;;;;;;;
3;9;953;1;A;1;anthyllis;27;2,43;;1;;;;;
3;9;956;1;M;1;anthyllis;19,6;2,55;;;;;;;
3;9;957;0;M;1;dorycnium;29,2;1,85;;;;;;;
3;9;958;0;M;1;pistachia;26;2,86;1;;;;;;
3;9;959;1;M;1;dorycnium;40;2,83;;;;;;;
3;10;1103;0;A;1;anthyllis;28,3;2,18;;1;;;;;
3;10;1110;1;A;1;anthyllis;21,5;2,1;;;;;;;
3;10;1113;0;A;1;anthyllis;33,4;3,24;;1;;;;;
3;10;1114;1;A;1;anthyllis;23,4;2,48;;;;;;;
3;10;1117;1;D;1;dorycnium;31,7;2,49;;;;;;;
3;10;1118;0;D;1;dorycnium;27,8;3,05;;;;;;;
3;10;1120;0;P;1;pistachia;14,7;1,91;;;;;;;
3;10;1121;1;P;1;pistachia;27,5;3,49;;;;;;;
3;10;1131;0;P;1;pistachia;26,3;3,8;1;;;;;;
3;10;1077;1;P;1;pistachia;25,6;3,5;;;;;;;
3;10;1134;0;P;1;pistachia;30;3,71;2;;;;;;
3;10;1135;1;P;1;pistachia;28,4;3,02;;;;;;;
3;10;1137;0;M;1;pistachia;28,7;4,32;1;;;;;;
3;10;1138;1;M;1;pistachia;26,3;3,76;;;;;;;
