label;microsite;treatment;P dead;P almost dead;A dead;A almost dead;T dead;T almost dead
1321;o;M;1;0;0;0;0;0
1254;o;A;0;0;0;0;0;0
1253;p;A;0;0;0;0;0;0
1259;o;M;1;0;0;0;0;0
1326;p;M;1;0;0;0;0;0
1324;o;M;1;0;0;0;0;0
1318;p;M;0;1;0;0;0;0
1323;o;P;0;0;0;0;0;0
1320;p;P;0;0;0;0;0;0
1310;p;A;0;0;0;0;0;0
1307;o;A;0;0;0;0;0;0
1309;p;T;0;0;0;0;0;0
1306;o;T;0;0;0;0;0;0
1308;o;T;0;0;0;0;0;0
1305;p;T;0;0;0;0;0;0
1304;o;T;0;0;0;0;1;0
1294;p;T;0;0;0;0;0;0
1325;p;T;0;0;0;0;0;1
1292;o;T;0;0;0;0;1;2
1301;o;A;0;0;0;0;0;0
1300;p;A;0;0;0;0;0;0
1296;p;T;0;0;0;0;1;0
1295;o;T;0;0;0;0;0;1
1299;p;M;0;0;0;0;0;0
1298;o;M;0;0;0;0;0;0
1311;o;A;0;0;0;0;0;0
1312;p;A;0;0;0;0;0;0
1313;p;P;3;0;0;0;0;0
1314;o;P;3;0;0;0;0;0
1315;p;P;0;0;0;0;0;0
1293;o;P;3;0;0;0;0;0
1260;o;T;0;0;0;0;0;0
1311;p;T;0;0;0;0;0;0
1322;o;T;0;0;0;0;0;0
1327;p;T;0;0;0;0;0;0
