terrace;plot;label;microsite;com;watering;probes;notes
3;10;1106;1;;;;
3;10;1107;1;A;;;
3;10;1108;0;;;;
3;10;1109;1;;;;
3;10;1110;0;;;;
3;10;1111;0;;;;
3;10;1112;1;;;;
3;10;1113;0;A;;;
3;10;1114;1;A;;;
3;10;1115;0;;;;
3;10;1116;1;;;;
3;10;1117;1;D;;;
3;10;1118;0;D;;;
3;10;1119;1;;;;
3;10;1120;0;;;;
3;10;1121;1;P;;;
3;10;1122;1;;;;
3;10;1123;0;;;;
3;10;1124;1;;;;
3;10;1125;1;;;;
3;10;1126;1;;;;
3;10;1127;0;;;;
3;10;1128;1;;;;
3;10;1078;0;;;;
3;10;1129;0;;;;
3;10;1130;1;;;;
3;10;1131;0;P;;;
3;10;1077;1;P;;;
3;10;1132;0;;;;
3;10;1133;0;;;;
3;10;1134;0;P;;;
3;10;1135;1;P;;;
3;10;1136;1;;;;
3;10;1137;0;M;;;
3;10;1138;1;M;;;
3;10;1139;0;M;;;
3;10;1140;1;M;;;
3;10;1141;0;;;;
3;10;1142;1;;;;
3;10;1143;0;P;;;
3;10;1144;1;P;;;
3;10;1145;1;D;;;
3;10;1146;0;D;;;
3;10;1147;0;;;;
3;10;1148;1;M;;;
3;10;1149;0;M;;;
3;10;1150;1;;;;
3;10;1051;0;A;;;
3;10;1052;1;A;;;
3;10;1053;0;;;;
3;10;1054;1;;;;
3;10;1055;0;;;;
3;10;1056;1;;;;
3;10;1057;1;;;;
3;10;1058;0;;;;
3;10;1059;1;D;;;
3;10;1060;0;D;;;
3;10;1061;0;;;;
3;10;1062;1;;;;
3;10;1063;0;;;;
3;10;1064;1;M;;;
3;10;1065;0;;;;
3;10;1066;1;;;;
3;10;1067;0;D;;;
3;10;1068;1;D;;;
3;10;1069;0;;;;
;;1160;1;;;;
3;10;1070;0;;;;
3;10;1071;1;P;;;
3;10;1072;0;P;;;
3;10;1073;1;;;;
3;10;1074;0;;;;
3;10;1075;1;;;;
3;10;1076;1;;;;
3;11;1021;0;;;;
3;11;1022;0;M;;;
3;11;1023;1;M;;;
3;11;1024;1;;;;
3;11;1025;0;;;;
3;11;1026;0;P;;;
3;11;1027;1;P;;;
3;11;1028;0;;;;
3;11;1029;1;D;;;
3;11;1030;0;D;;;
3;11;1031;0;P;;;
3;11;1032;1;P;;;
3;11;1033;0;D;;;
3;11;1034;1;D;;;
3;11;1035;0;D;;;
3;11;1036;0;;;;
3;11;1037;0;P;;;
3;11;1038;1;D;;;
3;11;1039;1;P;;;
3;11;1040;0;M;;;
3;11;1041;0;P;;;
3;11;1042;1;P;;;
3;11;1043;0;M;;;
3;11;1044;1;M;;;
3;11;1045;1;M;;;
3;11;1046;0;M;;;
3;11;1047;0;P;;;
3;11;1048;1;P;;;
3;11;1049;0;A;;;
3;11;1050;0;A;;;
3;11;1151;1;A;;;
3;11;1152;1;M;;;
3;11;1153;0;M;;;
3;11;1154;1;M;;;
3;11;1155;0;M;;;
3;11;1080;1;M;;;
3;11;1156;0;A;;;
3;11;1079;1;A;;;
3;11;1057;0;;;;
3;11;1058;1;;;;
3;11;1081;1;A;;;
3;11;1082;0;;;;
3;11;1083;1;;;;
3;11;1084;0;A;;;
3;11;1085;1;A;;;
3;11;1086;0;;;;
3;11;1087;0;;;;
3;11;1088;1;D;;;
3;11;1089;0;D;;;
3;11;1090;1;;;;
3;11;1091;0;;;;
3;11;1092;1;D;;;
3;11;1093;0;D;;;
3;11;1094;0;P;;;
3;11;1159;0;A;;;
3;11;1095;1;A;;;
3;11;1096;1;A;;;
3;11;1197;0;A;;;
3;11;1097;1;;;;
3;11;1098;0;;;;
3;11;1099;1;P;;;
3;11;1100;0;P;;;
3;11;1001;0;D;;;
3;11;1002;1;D;;;
3;11;1003;1;P;;;
3;11;1004;0;P;;;
3;11;1005;1;D;;;
3;11;1006;1;A;;;
3;11;1007;0;A;;;
3;11;1008;1;;;;
3;11;1009;0;D;;;
3;11;1010;0;A;;;
3;11;1011;1;;;;
3;11;1012;0;M;;;
3;11;1013;1;M;;;
3;11;1014;0;M;;;
3;11;1015;1;M;;;
3;11;1016;1;A;;;
3;11;1017;1;;;;
3;11;1018;1;P;;;
3;11;1019;1;D;;;
3;11;1020;1;;;;
3;11;1021;0;D;;;
4;13;360;1;A;;;
4;13;361;0;A;;;
4;13;362;0;A;;;
4;13;363;1;P;;;
4;13;364;0;P;;;no label
4;13;365;0;P;;;
4;13;366;1;D;;;
4;13;367;0;D;;;
4;13;368;1;D;;;
4;13;369;1;A;;;
4;13;370;1;A;;;
4;13;371;0;A;;;
4;13;372;0;A;;;
4;13;373;1;A;;;
4;13;374;1;P;;;
4;13;375;1;M;;;
4;13;376;0;M;;;
4;13;377;1;;;;
4;13;378;0;M;;;
4;13;379;1;;;;
4;13;380;0;;;;
4;13;381;0;;;;
4;13;382;1;;;;
4;13;383;0;P;;;
4;13;384;0;;;;
4;13;385;0;;;;
4;13;386;1;M;;;
4;13;387;1;P;;;
4;13;388;0;M;;;
4;13;389;0;D;;;
4;13;998;1;M;;;
4;13;390;1;D;;;
4;13;391;0;D;;;
4;13;392;0;A;;;
4;13;393;1;A;;;
4;13;394;1;P;;;
4;13;395;0;P;;;
4;13;396;0;;;;
4;13;397;0;;;;
4;13;398;0;P;;;
4;13;399;0;D;;;
4;13;400;1;D;;;
4;13;960;0;D;;;
4;13;961;1;P;;;
4;13;962;0;;;;
4;13;963;1;M;;;
4;13;964;1;;;;
4;13;965;0;;;;
4;13;966;0;;;;
4;13;967;0;P;;;
4;13;968;1;P;;;
4;13;969;0;M;;;
4;13;970;0;P;;;
4;13;971;1;M;;;
4;13;972;0;M;;;
4;13;973;1;;;;
4;13;974;0;;;;
4;13;975;1;A;;;
4;13;976;0;A;;;
4;13;977;0;D;;;
4;13;978;1;M;;;
4;13;979;0;M;;;
4;13;980;0;M;;;
4;13;981;1;A;;;
4;13;982;0;A;;;
4;13;983;0;M;;;
4;13;984;1;M;;;
4;13;985;1;D;;;
4;13;986;1;P;;;
4;13;987;0;P;;;
4;13;988;0;A;;;
4;13;989;1;M;;;
4;13;990;1;A;;;
4;13;991;1;D;;;
4;13;992;1;;;;
4;13;993;0;D;;;
4;13;994;1;D;;;
4;13;995;1;P;;;
4;13;996;0;D;;;
4;13;997;1;D;;;
4;14;281;0;P;;;
4;14;282;1;A;;;
4;14;283;1;P;;;
4;14;284;0;A;;;
4;14;285;1;A;;;
4;14;286;0;;;;
4;14;287;0;;;;
4;14;288;0;M;;;
4;14;289;1;M;;;
4;14;290;0;;;;
4;14;291;0;M;;;
4;14;292;1;M;;;
4;14;293;0;D;;;
4;14;294;1;D;;;
4;14;295;0;D;;;
4;14;296;0;;;;
4;14;297;1;D;;;
4;14;298;0;;;;
4;14;299;1;;;;
4;14;300;1;D;;;
4;14;301;0;D;;;
4;14;302;0;A;;;
4;14;303;1;P;;;
4;14;304;0;P;;;
4;14;305;0;;;;
4;14;306;0;;;;
4;14;307;0;;;;
4;14;308;1;D;;;
4;14;309;0;D;;;
4;14;310;1;A;;;
4;14;311;0;A;;;
4;14;312;0;D;;;
4;14;313;0;P;;;
4;14;314;1;D;;;
4;14;315;1;P;;;
4;14;316;1;M;;;
4;14;317;0;M;;;
4;14;318;1;M;;;
4;14;319;0;M;;;
4;14;320;0;M;;;
4;14;321;1;M;;;
4;14;322;0;;;;
4;14;323;0;;;;
4;14;324;0;;;;
4;14;325;0;M;;;
4;14;326;1;M;;;
4;14;327;1;P;;;
4;14;328;0;P;;;
4;14;329;1;;;;
4;14;330;0;A;;;
4;14;331;1;A;;;
4;14;332;0;P;;;
4;14;333;0;;;;
4;14;334;1;P;;;
4;14;335;0;A;;;
4;14;336;1;A;;;
4;14;337;0;A;;;
4;14;338;1;A;;;
4;14;339;0;D;;;
4;14;340;1;D;;;
4;14;341;0;D;;;
4;14;342;1;D;;;
4;14;343;0;;;;
4;14;344;0;M;;;
4;14;345;1;M;;;
