ter;plot;label;ms;com;watering;sp1;sp2;sp3;fresh_mass1;fresh_mass2;fresh_mass3;fresh_m_f1;fresh_m_f2;fresh_m_f3;dry_mass1;dry_mass2;dry_mass3;dry_m_f1;dry_m_f2;dry_m_f3
2;6;543;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;544;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;549;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;550;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;551;0;M;0;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
2;6;552;1;M;1;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;6;555;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;556;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;557;1;M;1;pistachia;anthyllis;dorycnium;;;;;;;;;;;;
2;6;558;0;M;0;anthyllis;pistachia;dorycnium;;;;;;;;;;;;
2;6;559;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;560;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;641;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;642;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;644;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;646;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;648;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;649;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;656;0;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
2;7;657;1;M;1;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;7;658;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;659;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;660;1;M;1;anthyllis;pistachia;dorycnium;;;;;;;;;;;;
2;7;661;0;M;1;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;7;662;1;M;0;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
2;7;663;0;M;1;pistachia;anthyllis;dorycnium;;;;;;;;;;;;
2;7;668;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;669;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;670;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;671;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;672;0;M;1;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;7;673;1;M;1;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;7;674;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;675;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;684;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;685;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;692;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;7;691;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;7;694;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
