ter;plot;label;ms;com;watering;sp1;sp2;sp3;h1;h2;h3;d1;d2;d3;hm1;hm2;hm3;e1;e2;e3
2;7;646;1;D;1;dorycnium;dorycnium;dorycnium;33;27,5;33;3,33;2,29;4,72;33,5;43,5;32;;;
2;7;648;0;D;0;dorycnium;dorycnium;dorycnium;D;D;D;3,59;1,66;2,48;D;D;D;;;
2;7;649;1;D;1;dorycnium;dorycnium;dorycnium;32;33,5;19;3,22;3,84;4,23;35;49;28;;;
2;7;656;0;M;0;dorycnium;pistachia;anthyllis;D;D;D;5,37;4,02;3,46;D;D;D;;;
2;7;657;1;M;1;anthyllis;dorycnium;pistachia;8;D;D;2,65;2,64;3,07;8;D;D;;;
2;7;658;0;A;0;anthyllis;anthyllis;anthyllis;18,5;19,5;21,5;2,37;2,4;3,01;18,5;21;21,5;;;
2;7;659;1;A;1;anthyllis;anthyllis;anthyllis;19,5;26;20,5;2,35;2,85;2,97;22,9;26,7;20,6;;;
2;7;660;1;M;1;anthyllis;pistachia;dorycnium;23;24,8;34,5;2,32;5,2;2,54;24,5;28,2;37,5;;;
2;7;661;0;M;1;dorycnium;anthyllis;pistachia;30,5;19;27;2,83;1,77;5,09;50;18,5;32,5;;;
2;7;662;1;M;0;pistachia;dorycnium;anthyllis;D;D;16,5;4,29;2,43;2,4;D;D;17;;;
2;7;663;0;M;1;pistachia;anthyllis;dorycnium;D;22,5;D;2,57;3,09;1,77;D;23,5;D;;;
2;7;668;1;D;0;dorycnium;dorycnium;dorycnium;16;51,5;8,5;2,66;4,02;2,36;16,5;52;21;;;
2;7;669;0;D;0;dorycnium;dorycnium;dorycnium;D;D;D;2,35;2,24;1,41;D;D;D;;;
2;7;670;0;A;0;anthyllis;anthyllis;anthyllis;23;19;27;2,92;2,87;1,95;24;27;27;;;
2;7;671;1;A;0;anthyllis;anthyllis;anthyllis;D;10;30;2,03;2,89;2,98;D;10;29;;;
2;7;672;0;M;1;anthyllis;dorycnium;pistachia;26;30;21;3,45;3,64;4,24;30;34,5;22;;;
2;7;673;1;M;1;anthyllis;dorycnium;pistachia;21;33;22;2,77;3,73;3,45;29;40,5;22;;;
2;7;674;1;D;0;dorycnium;dorycnium;dorycnium;32,5;28;35;1,94;1,7;2,25;34,5;33;35,5;;;
2;7;675;0;D;0;dorycnium;dorycnium;dorycnium;D;D;27;2,38;2,19;2,46;D;D;30;;;
2;7;684;1;D;1;dorycnium;dorycnium;dorycnium;31;29,5;28,5;3,9;3,07;3,03;30;28;28;;;
2;7;685;0;D;0;dorycnium;dorycnium;dorycnium;24;34;33;2,68;3,04;3,23;26,5;34,5;36,5;;;
2;7;692;1;P;1;pistachia;pistachia;pistachia;D;D;D;3,97;2,88;2,78;D;D;D;;;
2;7;691;0;P;0;pistachia;pistachia;pistachia;19,5;D;D;3,09;3,59;4,85;19,5;D;D;;;
2;7;694;1;D;0;dorycnium;dorycnium;dorycnium;D;30,5;D;2,07;3,51;2,86;D;32,2;D;;;
2;7;698;0;D;0;dorycnium;dorycnium;dorycnium;D;D;D;3,02;2,15;3,79;D;D;D;;;
2;7;700;0;P;0;pistachia;pistachia;pistachia;D;D;D;4,02;3,95;3,95;D;D;D;;;
2;7;701;1;P;1;pistachia;pistachia;pistachia;26,2;D;13,4;4,1;3,52;4,34;28,5;D;17,2;;;
2;7;722;0;P;0;pistachia;pistachia;pistachia;D;D;D;3,39;3,42;3,21;D;D;D;;;
2;7;723;1;P;0;pistachia;pistachia;pistachia;D;D;D;2,46;3,14;3,02;D;D;D;;;
2;8;401;0;P;0;pistachia;pistachia;pistachia;26;22;D;4,09;3,36;3;26;23,5;D;;;
2;8;402;1;P;0;pistachia;pistachia;pistachia;D;23;22,5;3;3,59;3,9;D;27;26,5;;;
2;8;403;0;D;1;dorycnium;dorycnium;dorycnium;D;40,5;27;1,87;3,48;4,55;D;44,5;34,5;;;
2;8;405;1;D;1;dorycnium;dorycnium;dorycnium;57,5;66;82,5;5,03;5,01;2,15;62,5;74,5;81,5;;;
2;8;407;1;P;1;pistachia;pistachia;pistachia;24,5;D;D;3,71;3,4;3,7;26;D;D;;;
2;8;408;1;D;1;dorycnium;dorycnium;dorycnium;48;36;50;4,12;4,26;4,12;56;39,5;56;;;
2;8;409;1;D;1;dorycnium;dorycnium;dorycnium;31,5;36;44,5;3,42;3,81;3,26;37;46,5;50;;;
2;8;410;0;D;1;dorycnium;dorycnium;dorycnium;40;37,5;60;4,33;3,14;2,91;41;41,5;64;;;
2;8;412;0;D;1;dorycnium;dorycnium;dorycnium;38;44;52;3,39;4,38;6,82;40;42;54,4;;;
2;8;413;0;D;1;dorycnium;dorycnium;dorycnium;43;48,5;45,5;2,67;5,08;4,45;56,5;53;53;;;
2;8;414;1;D;1;dorycnium;dorycnium;dorycnium;52;38;54;5,5;4,6;4,09;55;44,5;63;;;
2;8;415;0;M;1;dorycnium;pistachia;anthyllis;62;26;38;7,66;6,01;5,24;72;27;38;;;
2;8;416;1;M;1;dorycnium;anthyllis;pistachia;67;D;22;6,91;3,13;4,23;75;D;23,5;;;
2;8;417;0;M;1;dorycnium;anthyllis;pistachia;43;24;17,5;4,37;3,87;6;41,5;25;21;;;
2;8;418;1;M;1;pistachia;anthyllis;dorycnium;22;35;31;2,94;4,18;3,23;22;36,5;38;;;
2;8;419;0;P;1;pistachia;pistachia;pistachia;29;27;28,5;3,86;4,95;4,02;30;26;29;;;
2;8;420;1;A;0;anthyllis;anthyllis;anthyllis;28;30;D;3,59;5,02;2,65;28;32;D;;;
2;8;421;0;A;0;anthyllis;anthyllis;anthyllis;27;32;24,5;4,83;6,68;3,57;28,5;34;25;;;
2;8;424;0;A;1;anthyllis;anthyllis;anthyllis;32,5;27;19;4,98;4,77;3,16;32;26;19;;;
2;8;425;1;A;0;anthyllis;anthyllis;anthyllis;30;D;D;3,27;2,33;2,39;33;D;D;;;
2;8;427;0;A;0;anthyllis;anthyllis;anthyllis;21;13,5;27;4,28;1,93;3,85;20;13;28,5;;respout2;
2;8;428;1;A;0;anthyllis;anthyllis;anthyllis;35,5;20,5;32,5;3,2;3,78;3,34;44,5;28,5;34,5;;;
2;8;429;0;M;0;anthyllis;dorycnium;pistachia;23;19,5;13;3,17;2,11;2,86;24;19,5;14;;;
2;8;430;1;M;0;dorycnium;pistachia;anthyllis;29,5;22,5;27,5;2,44;3,47;3,91;34;26;30,5;;;
2;8;431;0;A;0;anthyllis;anthyllis;anthyllis;37;31,5;21;3,78;3,3;4,47;37,5;29;24,5;;;
2;8;432;0;M;0;pistachia;dorycnium;anthyllis;20;38,5;17,5;4,14;2,63;2,04;22;45;17;;;
2;8;433;1;M;0;anthyllis;dorycnium;pistachia;22,5;32,5;18,5;2,61;2,79;2,67;26;35,5;19;;;
2;8;435;0;D;1;dorycnium;dorycnium;dorycnium;30,5;34,5;23;2,61;3,37;3,87;32;37;28;;;
2;8;436;1;D;0;dorycnium;dorycnium;dorycnium;27,5;28,5;36;3,36;2,9;3,59;30,5;32;39;;;
2;8;437;0;P;0;pistachia;pistachia;pistachia;D;25;18,5;3,19;3,81;3,13;D;27;21;;;
2;8;438;1;P;1;pistachia;pistachia;pistachia;23;25;25,5;3,8;3,88;3,5;26,5;28;26;;;
2;8;443;0;M;1;pistachia;anthyllis;dorycnium;20;29;35,5;3,03;3,26;3,84;20,5;29;41;;;
2;8;444;0;P;0;pistachia;pistachia;pistachia;29,5;14;14;4,34;3,09;2,66;30,5;15;15;;;
