ter,plot,label,com,sp,ind,fresh_mass,dry_mass
3,10,1103,A,anthyllis,2,0.139,0.054
3,10,1114,A,anthyllis,2,0.169,0.049
3,10,1131,P,pistachia,2,1.189,0.612
3,10,1139,M,anthyllis,2,0.22,0.081
3,10,1143,P,pistachia,2,0.736,0.376
3,10,1051,A,anthyllis,2,0.266,0.077
3,10,1060,D,dorycnium,2,0.048,0.025
3,10,1072,P,pistachia,2,0.913,0.516
3,11,1027,P,pistachia,2,0.447,0.215
3,11,1029,D,dorycnium,2,0.042,NA
3,11,1030,D,dorycnium,2,0.037,0.015
3,11,1037,P,pistachia,2,0.506,0.282
3,11,1039,P,pistachia,2,0.744,0.328
3,11,1041,P,pistachia,2,1.921,1.171
3,11,1050,A,anthyllis,2,0.096,0.031
3,11,1152,M,pistachia,2,0.777,0.402
3,11,1154,M,dorycnium,2,0.041,0.016
3,11,1088,D,dorycnium,2,0.088,0.035
3,11,1095,A,anthyllis,2,0.094,0.03
3,11,1096,A,anthyllis,2,0.11,0.034
3,11,1009,D,dorycnium,2,0.041,0.015
3,11,1015,M,anthyllis,2,0.176,NA
3,11,1019,D,dorycnium,2,0.027,0.012
3,12,814,P,pistachia,2,0.736,0.41
3,12,822,A,anthyllis,2,0.194,0.043
3,12,838,P,pistachia,2,1.248,0.634
3,12,850,D,dorycnium,2,0.046,0.016
3,12,866,D,dorycnium,2,0.08,0.029
3,12,874,P,pistachia,2,0.806,0.363
4,13,363,P,pistachia,2,1.098,0.562
4,13,368,D,dorycnium,2,0.072,0.027
4,13,369,A,anthyllis,2,0.143,0.029
4,13,372,A,anthyllis,2,0.166,NA
4,13,373,M,pistachia,2,1.337,NA
4,13,374,P,pistachia,2,0.644,0.305
4,13,376,M,pistachia,2,NA,0.69
4,13,378,M,dorycnium,2,0.07,0.025
4,13,383,P,pistachia,2,1.518,0.756
4,13,391,D,dorycnium,2,0.044,0.018
4,13,392,A,anthyllis,2,0.091,0.03
4,13,960,D,dorycnium,2,0.073,0.024
4,13,967,P,pistachia,2,0.498,0.253
4,13,971,M,pistachia,2,0.624,NA
4,13,976,A,anthyllis,2,0.201,0.057
4,13,978,M,anthyllis,2,0.142,0.038
4,13,979,M,pistachia,2,1.486,0.733
4,13,981,A,anthyllis,2,0.092,0.032
4,13,984,M,dorycnium,2,0.068,0.025
4,13,986,A,anthyllis,2,0.171,0.04
4,13,991,D,dorycnium,2,0.057,0.021
4,13,993,D,dorycnium,2,0.039,0.014
4,14,282,A,anthyllis,2,0.111,0.034
4,14,288,M,anthyllis,2,0.163,0.057
4,14,294,D,dorycnium,2,0.057,0.022
4,14,303,P,pistachia,2,0.44,0.256
4,14,304,P,pistachia,2,0.925,0.467
4,14,313,P,pistachia,2,1.419,0.691
4,14,321,M,anthyllis,2,0.127,NA
4,14,330,A,anthyllis,2,0.1,0.033
4,14,334,P,pistachia,2,0.28,0.129
4,14,335,A,anthyllis,2,0.117,0.043
4,14,336,A,anthyllis,2,0.1,0.027
4,14,340,D,dorycnium,2,0.044,NA
4,14,341,D,dorycnium,2,NA,0.024
4,14,348,D,dorycnium,2,0.059,0.024
4,14,349,A,anthyllis,2,0.217,0.058
4,14,350,P,pistachia,2,0.698,0.338
4,14,352,P,pistachia,2,0.519,0.315
4,14,354,M,anthyllis,2,0.059,NA
4,14,357,P,pistachia,2,0.916,0.468
4,15,1466,P,pistachia,2,0.676,0.39
4,15,1469,M,dorycnium,2,0.11,0.039
4,15,1474,P,pistachia,2,0.688,0.372
4,15,1476,M,pistachia,2,0.251,0.137
4,15,1481,P,pistachia,2,1.108,0.546
4,15,1484,D,dorycnium,2,0.058,0.021
4,15,1485,D,dorycnium,2,0.058,0.024
4,15,1495,A,anthyllis,2,0.127,0.034
4,15,1507,M,pistachia,2,1.297,0.667
4,15,1523,A,anthyllis,2,0.102,0.028
4,15,1524,A,anthyllis,2,0.107,0.034
4,15,1527,A,anthyllis,2,0.057,0.016
4,15,1529,M,pistachia,2,0.392,0.238
2,5,561,M,pistachia,3,1.272,0.663
2,5,562,M,dorycnium,3,0.049,0.02
2,5,563,A,anthyllis,3,0.082,0.026
2,5,564,D,dorycnium,3,0.068,0.028
2,5,565,A,anthyllis,3,0.071,NA
2,5,567,M,dorycnium,3,0.086,0.036
2,5,569,M,anthyllis,3,0.072,0.036
2,5,571,P,pistachia,3,0.919,0.471
2,5,579,M,pistachia,3,1.003,0.483
2,5,581,P,pistachia,3,0.944,0.535
2,5,582,D,dorycnium,3,0.04,0.013
2,5,583,M,pistachia,3,0.601,0.287
2,5,585,P,pistachia,3,0.691,0.351
2,5,586,A,anthyllis,3,0.046,0.019
2,5,589,M,dorycnium,3,0.109,0.053
2,5,590,P,pistachia,3,0.554,0.313
2,5,591,P,pistachia,3,0.745,0.417
2,5,592,P,pistachia,3,0.789,0.409
2,5,593,D,dorycnium,3,0.049,0.022
2,5,594,A,anthyllis,3,0.126,0.045
2,5,595,A,anthyllis,3,0.105,0.038
2,5,596,M,dorycnium,3,0.069,0.027
2,5,597,M,anthyllis,3,0.102,0.03
2,5,598,P,pistachia,3,0.511,0.274
2,5,601,P,pistachia,3,0.574,0.285
2,5,602,P,pistachia,3,0.435,0.257
